Superfamily,Family,Genus,Species,Brain_Size_Species_Mean,Mass_Dimorphism,MeanGroupSize,InterbirthInterval_d,WeaningAge_d,MaxLongevity_m,LitterSz,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Territoriality,Canine_Dimorphism
Ceboidea,Cebidae,Cebus,albifrons,65.45,1.389,25.1,547.5,270.32,528,1.01,1929.9,25.3,0.53,1.8,2.1912,NA
Ceboidea,Cebidae,Cebus,apella,66.63,1.359,12.9,657,263.12,541.2,1.05,1541.9,24.1,0.88,2.1,1.9839,1.455
Ceboidea,Cebidae,Cebus,capucinus,72.93,1.349,16.4,790.83,514.07,657.6,1.01,2165.7,24.1,0.35,2,2.996,1.582
Ceboidea,Cebidae,Cebus,olivaceus,69.84,1.226,21,792.05,725.86,492,1.01,1555.2,24.9,1.7,2.3,1.5633,1.573
Ceboidea,Cebidae,Cebus,xanthosternos,66.09,1.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Cercocebus,agilis,116.43,1.678,21.5,NA,NA,372,NA,NA,NA,NA,NA,NA,1.962
Cercopithecoidea,Cercopithecidae,Cercocebus,galeritus,99.07,1.827,18.2,NA,365,252,1.01,539.9,27.4,0.51,1.2,1.4892,NA
Cercopithecoidea,Cercopithecidae,Cercocebus,torquatus,105.99,1.722,26.9,434.35,NA,360,1.01,1756.2,25.2,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Cercocebus,torquatus_atys,94.68,1.774,90,394.2,NA,321.6,1.01,1860.9,25.6,NA,NA,NA,2.46
Cercopithecoidea,Cercopithecidae,Cercopithecus,albogularis,70.1,1.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Cercopithecus,ascanius,59.58,1.561,28.8,1580.45,146.54,339.6,1.01,1310.1,23.7,0.16,1.5,3.3233,1.56
Cercopithecoidea,Cercopithecidae,Cercopithecus,campbelli,57.39,1.667,14,NA,362.93,396,1.02,2266.7,25.3,0.01,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Cercopithecus,cephus,65.26,1.49,8,821,362.93,276,1.01,1498.7,24.4,0.24,NA,NA,1.702
